;DIA;MES;AÑO;MUESTREO;CULTIVAR;VARIEDAD;PORTAINJERTO;REPETICION;CODIGO;EVALUADO;HUEVO ACARO HINDU;ADULTO ACARO HINDU;OTROS ACAROS;AFIDOS;MHC;HOJAS MINADAS;TOTAL HOJAS BROTE;ESCAMAS;MOSCA BLANCA;OBSERVACIONES
3;2;10;2018;M44;Naranja;GarciaVal;CPB4475;3;9;B1;;NA;NA;1;0;0;9;;NA;
3;2;10;2018;M44;Naranja;GarciaVal;CPB4475;3;9;B2;;NA;NA;1;0;0;16;;NA;
3;2;10;2018;M44;Naranja;GarciaVal;CPB4475;3;9;H1;;0;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;GarciaVal;CPB4475;3;9;H2;;0;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;GarciaVal;CPB4475;3;9;H3;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;GarciaVal;CPB4475;3;9;H4;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;1;10;B1;;NA;NA;1;0;0;7;;NA;
1;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;1;10;B2;;NA;NA;1;0;0;6;;NA;
1;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;1;10;H1;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;1;10;H2;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;1;10;H3;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;1;10;H4;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;2;10;B1;;NA;NA;1;0;0;6;;NA;
2;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;2;10;B2;;NA;NA;1;0;0;5;;NA;
2;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;2;10;H1;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;2;10;H2;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;2;10;H3;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;2;10;H4;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;3;10;B1;;NA;NA;1;0;0;9;;NA;
3;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;3;10;B2;;NA;NA;1;0;0;10;;NA;
3;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;3;10;H1;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;3;10;H2;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;3;10;H3;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Mandarina;M.Oneco;CPB4475;3;10;H4;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;1;11;B1;;NA;NA;1;0;0;8;;NA;
1;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;1;11;B2;;NA;NA;1;0;0;9;;NA;
1;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;1;11;H1;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;1;11;H2;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;1;11;H3;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;1;11;H4;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;2;11;B1;;NA;NA;1;0;0;9;;NA;
2;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;2;11;B2;;NA;NA;1;0;0;11;;NA;
2;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;2;11;H1;;0;1;NA;1;NA;NA;NA;0;
2;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;2;11;H2;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;2;11;H3;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;2;11;H4;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;3;11;B1;;NA;NA;1;0;0;11;;NA;
3;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;3;11;B2;;NA;NA;1;0;0;12;;NA;
3;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;3;11;H1;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;3;11;H2;;0;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;3;11;H3;;0;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Mandarina;OwariSatsuma;CPB4475;3;11;H4;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;1;12;B1;;NA;NA;NA;NA;NA;NA;;NA;
1;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;1;12;B2;;NA;NA;NA;NA;NA;NA;;NA;
1;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;1;12;H1;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;1;12;H2;;0;1;NA;1;NA;NA;NA;0;
1;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;1;12;H3;;0;1;NA;1;NA;NA;NA;0;
1;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;1;12;H4;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;2;12;B1;;NA;NA;1;0;0;6;;NA;
2;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;2;12;B2;;NA;NA;NA;NA;NA;NA;;NA;
2;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;2;12;H1;;0;1;NA;0;NA;NA;1;0;
2;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;2;12;H2;;0;1;NA;0;NA;NA;1;0;
2;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;2;12;H3;;0;1;NA;0;NA;NA;1;0;
2;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;2;12;H4;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;3;12;B1;;NA;NA;NA;NA;NA;NA;;NA;
3;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;3;12;B2;;NA;NA;NA;NA;NA;NA;;NA;
3;2;10;2018;M44;Mandarina;M.Arrayana;CPB4475;3;12;H1;;0;1;NA;0;NA;NA;NA;0;
